# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","IEC","-4188.74658203125","-10051.69049605829","Spike-In NT","false"
"1","A1","2","IEC","-4111.75244140625","-9240.193784419083","Spike-In NT","false"
"1","A1","3","IEC","-4085.847412109375","-8479.786184108003","Spike-In NT","false"
"1","A1","4","IEC","-4226.85009765625","-7886.286298640671","Spike-In NT","false"
"1","A1","5","IEC","-4069.28564453125","-6994.219274501464","Spike-In NT","false"
"1","A1","6","IEC","-4190.4130859375","-6380.844144893507","Spike-In NT","false"
"1","A1","7","IEC","-4557.44580078125","-6013.37428872305","Spike-In NT","false"
"1","A1","8","IEC","-4123.85986328125","-4845.285780208844","Spike-In NT","false"
"1","A1","9","IEC","-4489.9580078125","-4476.8813537258875","Spike-In NT","false"
"1","A1","10","IEC","-4853.25341796875","-4105.67419286793","Spike-In NT","false"
"1","A1","11","IEC","-4887.43408203125","-3405.3522859162244","Spike-In NT","false"
"1","A1","12","IEC","-4598.2333984375","-2381.649031308268","Spike-In NT","false"
"1","A1","13","IEC","-4774.32958984375","-1823.242651700311","Spike-In NT","false"
"1","A1","14","IEC","-4693.9501953125","-1008.3606861548536","Spike-In NT","false"
"1","A1","15","IEC","-4528.69140625","-108.59932607814824","Spike-In NT","false"
"1","A1","16","IEC","-4484.302734375","670.291916811059","Spike-In NT","false"
"1","A1","17","IEC","-4971.42431640625","917.6729057940162","Spike-In NT","false"
"1","A1","18","IEC","-4954.68798828125","1668.9118049332214","Spike-In NT","false"
"1","A1","19","IEC","-4727.64794921875","2630.4544150099287","Spike-In NT","false"
"1","A1","20","IEC","-5019.4638671875","3073.141068055385","Spike-In NT","false"
"1","A1","21","IEC","-4884.37060546875","3942.736900788342","Spike-In NT","false"
"1","A1","22","IEC","-5295.79150390625","4265.81857336505","Spike-In NT","false"
"1","A1","23","IEC","-5344.47119140625","4951.641456879253","Spike-In NT","false"
"1","A1","24","IEC","-5221.826171875","5808.789047424711","Spike-In NT","false"
"1","A1","25","IEC","-5230.701171875","6534.416618438918","Spike-In NT","false"
"1","A1","26","IEC","-5163.982421875","7335.637939453125","Spike-In NT","false"
"1","A1","27","IEC","-5122.015625","8112.107307342332","Spike-In NT","false"
"1","A1","28","IEC","-5467.0703125","8501.55519085654","Spike-In NT","false"
"1","A1","29","IEC","-5418.1220703125","9285.006004058243","Spike-In NT","false"
"1","A1","30","IEC","-5469.01220703125","9968.6184383537","Spike-In NT","false"
"1","A1","31","IEC","-5341.43896484375","10830.694251555407","Spike-In NT","false"
"1","A1","32","IEC","-5450.201171875","11456.434615538365","Spike-In NT","false"
"1","A1","33","IEC","-6495.64501953125","11145.493338896322","Spike-In NT","false"
"1","A1","34","IEC","-6954.63671875","11421.004210691779","Spike-In NT","false"
"1","A1","35","IEC","-8289.0927734375","10821.050727018486","Spike-In NT","false"
"1","A1","36","IEC","-11773.404296875","8071.24177459519","Spike-In NT","false"
"1","A1","37","IEC","-16306.1943359375","4272.954306546897","Spike-In NT","false"
"1","A1","38","IEC","-21782.83984375","-469.18863025139615","Spike-In NT","false"
"1","A1","39","IEC","-27039.005859375","-4990.852074862189","Spike-In NT","false"
"1","A1","40","IEC","-30411.646484375","-7628.990128847981","Spike-In NT","false"
"1","A1","41","IEC","-31917.69921875","-8400.540292208774","Spike-In NT","false"
"1","A1","42","IEC","-33335.3671875","-9083.70568994457","Spike-In NT","false"
"1","A1","43","IEC","-34322.12109375","-9335.957025180363","Spike-In NT","false"
"1","A1","44","IEC","-34138.359375","-8417.692735416156","Spike-In NT","false"
"1","A1","45","IEC","-35168.375","-8713.205789401953","Spike-In NT","false"
"1","A1","46","IEC","-35597.23046875","-8407.558687137745","Spike-In NT","false"
"1","A1","47","IEC","-35758.13671875","-7833.962366123538","Spike-In NT","false"
"1","A1","48","IEC","-36146.1640625","-7487.487138859331","Spike-In NT","false"
"1","A1","49","IEC","-36400.15625","-7006.976755345124","Spike-In NT","false"
"1","A1","50","IEC","-36662.25390625","-6534.571840580917","Spike-In NT","false"
"1","A1","1","nCoV","1086300.875","-9164.377307692244","Spike-In NT","false"
"1","A1","2","nCoV","1095219.75","-1084.4300000001026","Spike-In NT","false"
"1","A1","3","nCoV","1095898.25","-1244.8576923077276","Spike-In NT","false"
"1","A1","4","nCoV","1096524.75","-1457.2853846153525","Spike-In NT","false"
"1","A1","5","nCoV","1097040.25","-1780.7130769229775","Spike-In NT","false"
"1","A1","6","nCoV","1098039.625","-1620.2657692308353","Spike-In NT","false"
"1","A1","7","nCoV","1100018.875","-479.94346153846016","Spike-In NT","false"
"1","A1","8","nCoV","1100743.375","-594.3711538460851","Spike-In NT","false"
"1","A1","9","nCoV","1101720.625","-456.0488461539429","Spike-In NT","false"
"1","A1","10","nCoV","1102068.0","-947.6015384615679","Spike-In NT","false"
"1","A1","11","nCoV","1105064.375","1209.845769230807","Spike-In NT","false"
"1","A1","12","nCoV","1105601.375","907.9180769231822","Spike-In NT","false"
"1","A1","13","nCoV","1106765.0","1232.6153846153243","Spike-In NT","false"
"1","A1","14","nCoV","1110974.25","4602.9376923077","Spike-In NT","false"
"1","A1","15","nCoV","1109625.0","2414.7600000000743","Spike-In NT","false"
"1","A1","16","nCoV","1109681.375","1632.2073076922165","Spike-In NT","false"
"1","A1","17","nCoV","1111698.875","2810.7796153845916","Spike-In NT","false"
"1","A1","18","nCoV","1110929.625","1202.6019230769666","Spike-In NT","false"
"1","A1","19","nCoV","1110341.625","-224.32576923065824","Spike-In NT","false"
"1","A1","20","nCoV","1111427.75","22.871538461483965","Spike-In NT","false"
"1","A1","21","nCoV","1111737.25","-506.556153846141","Spike-In NT","false"
"1","A1","22","nCoV","1112658.5","-424.23384615376597","Spike-In NT","false"
"1","A1","23","nCoV","1114444.25","522.5884615383762","Spike-In NT","false"
"1","A1","24","nCoV","1112726.0","-2034.5892307692488","Spike-In NT","false"
"1","A1","25","nCoV","1114713.0","-886.5169230768737","Spike-In NT","false"
"1","A1","26","nCoV","1114891.625","-1546.8196153847316","Spike-In NT","false"
"1","A1","27","nCoV","1114922.375","-2354.9973076923566","Spike-In NT","false"
"1","A1","28","nCoV","1115699.5","-2416.7999999999815","Spike-In NT","false"
"1","A1","29","nCoV","1117301.875","-1653.3526923076065","Spike-In NT","false"
"1","A1","30","nCoV","1119384.25","-409.9053846154642","Spike-In NT","false"
"1","A1","31","nCoV","1122514.375","1881.2919230769107","Spike-In NT","false"
"1","A1","32","nCoV","1129395.125","7923.114230769286","Spike-In NT","false"
"1","A1","33","nCoV","1144174.625","21863.68653846143","Spike-In NT","false"
"1","A1","34","nCoV","1171193.375","48043.5088461538","Spike-In NT","false"
"1","A1","35","nCoV","1218986.0","94997.20615384617","Spike-In NT","false"
"1","A1","36","nCoV","1304593.75","179766.02846153855","Spike-In NT","false"
"1","A1","37","nCoV","1434244.25","308577.6007692307","Spike-In NT","false"
"1","A1","38","nCoV","1587636.25","461130.67307692306","Spike-In NT","false"
"1","A1","39","nCoV","1731244.625","603900.1203846155","Spike-In NT","false"
"1","A1","40","nCoV","1832850.25","704666.8176923076","Spike-In NT","false"
"1","A1","41","nCoV","1894651.75","765629.39","Spike-In NT","false"
"1","A1","42","nCoV","1930879.75","801018.4623076924","Spike-In NT","false"
"1","A1","43","nCoV","1956186.75","825486.5346153848","Spike-In NT","false"
"1","A1","44","nCoV","1969840.25","838301.1069230769","Spike-In NT","false"
"1","A1","45","nCoV","1987150.625","854772.5542307693","Spike-In NT","false"
"1","A1","46","nCoV","2000182.375","866965.3765384617","Spike-In NT","false"
"1","A1","47","nCoV","2010410.75","876354.8238461538","Spike-In NT","false"
"1","A1","48","nCoV","2020948.5","886053.6461538462","Spike-In NT","false"
"1","A1","49","nCoV","2028707.25","892973.4684615385","Spike-In NT","false"
"1","A1","50","nCoV","2034424.375","897851.6657692309","Spike-In NT","false"
"2","A2","1","IEC","2824.904541015625","-6038.586801830649","Spike-In NT","false"
"2","A2","2","IEC","2593.15869140625","-5807.026348893892","Spike-In NT","false"
"2","A2","3","IEC","2684.659912109375","-5252.218825644635","Spike-In NT","false"
"2","A2","4","IEC","2118.2744140625","-5355.298021145379","Spike-In NT","false"
"2","A2","5","IEC","2180.082763671875","-4830.183368989872","Spike-In NT","false"
"2","A2","6","IEC","1994.2618408203125","-4552.697989295303","Spike-In NT","false"
"2","A2","7","IEC","1921.540771484375","-4162.112756085109","Spike-In NT","false"
"2","A2","8","IEC","2415.531982421875","-3204.815242601478","Spike-In NT","false"
"2","A2","9","IEC","1756.5189208984375","-3400.522001578784","Spike-In NT","false"
"2","A2","10","IEC","1943.439697265625","-2750.294922665465","Spike-In NT","false"
"2","A2","11","IEC","2052.810302734375","-2177.6180146505835","Spike-In NT","false"
"2","A2","12","IEC","2177.094482421875","-1590.0275324169518","Spike-In NT","false"
"2","A2","13","IEC","2058.923583984375","-1244.8921283083203","Spike-In NT","false"
"2","A2","14","IEC","2523.3193359375","-317.1900738090638","Spike-In NT","false"
"2","A2","15","IEC","2024.4156494140625","-352.78745778636977","Spike-In NT","false"
"2","A2","16","IEC","2058.656005859375","144.75920120507425","Spike-In NT","false"
"2","A2","17","IEC","2002.0899658203125","551.4994637121433","Spike-In NT","false"
"2","A2","18","IEC","1770.0791015625","782.7949020004623","Spike-In NT","false"
"2","A2","19","IEC","1940.28662109375","1416.3087240778448","Spike-In NT","false"
"2","A2","20","IEC","1992.854248046875","1932.1826535771004","Spike-In NT","false"
"2","A2","21","IEC","1598.061767578125","2000.696475654481","Spike-In NT","false"
"2","A2","22","IEC","2073.859375","2939.800385622488","Spike-In NT","false"
"2","A2","23","IEC","2110.919921875","3440.1672350436206","Spike-In NT","false"
"2","A2","24","IEC","1807.7369384765625","3600.2905541913137","Spike-In NT","false"
"2","A2","25","IEC","1558.9083251953125","3814.7682434561943","Spike-In NT","false"
"2","A2","26","IEC","1973.116943359375","4692.28316416639","Spike-In NT","false"
"2","A2","27","IEC","1703.5169677734375","4885.989491126585","Spike-In NT","false"
"2","A2","28","IEC","1959.1357421875","5604.914568086778","Spike-In NT","false"
"2","A2","29","IEC","1644.4466552734375","5753.531783718846","Spike-In NT","false"
"2","A2","30","IEC","1838.01708984375","6410.408520835291","Spike-In NT","false"
"2","A2","31","IEC","2005.6590576171875","7041.356791154861","Spike-In NT","false"
"2","A2","32","IEC","1648.70849609375","7147.712532177554","Spike-In NT","false"
"2","A2","33","IEC","1433.1275634765625","7395.437902106497","Spike-In NT","false"
"2","A2","34","IEC","1170.4140625","7596.030703676067","Spike-In NT","false"
"2","A2","35","IEC","674.7713623046875","7563.694306026887","Spike-In NT","false"
"2","A2","36","IEC","-334.697265625","7017.53198064333","Spike-In NT","false"
"2","A2","37","IEC","-2046.98046875","5768.5550800644605","Spike-In NT","false"
"2","A2","38","IEC","-4863.91943359375","3414.9224177668443","Spike-In NT","false"
"2","A2","39","IEC","-8563.3740234375","178.7741304692251","Spike-In NT","false"
"2","A2","40","IEC","-12141.6689453125","-2936.2144888596445","Spike-In NT","false"
"2","A2","41","IEC","-14947.408203125","-5278.647444126013","Spike-In NT","false"
"2","A2","42","IEC","-16362.447265625","-6230.380204079883","Spike-In NT","false"
"2","A2","43","IEC","-17728.3125","-7132.9391359087485","Spike-In NT","false"
"2","A2","44","IEC","-17994.236328125","-6935.556661487618","Spike-In NT","false"
"2","A2","45","IEC","-18521.41796875","-6999.431999566487","Spike-In NT","false"
"2","A2","46","IEC","-18577.37890625","-6592.086634520353","Spike-In NT","false"
"2","A2","47","IEC","-19395.685546875","-6947.0869725992225","Spike-In NT","false"
"2","A2","48","IEC","-19451.876953125","-6539.972076303092","Spike-In NT","false"
"2","A2","49","IEC","-19686.6484375","-6311.437258131961","Spike-In NT","false"
"2","A2","50","IEC","-19866.107421875","-6027.589939960831","Spike-In NT","false"
"2","A2","1","nCoV","1089133.125","-6275.329091406694","Spike-In NT","false"
"2","A2","2","nCoV","1094144.75","-2125.707341269856","Spike-In NT","false"
"2","A2","3","nCoV","1094193.375","-2939.0855911330186","Spike-In NT","false"
"2","A2","4","nCoV","1098920.375","925.9111590038186","Spike-In NT","false"
"2","A2","5","nCoV","1098797.625","-58.84209085934401","Spike-In NT","false"
"2","A2","6","nCoV","1099569.25","-149.22034072250665","Spike-In NT","false"
"2","A2","7","nCoV","1100900.875","320.4014094143307","Spike-In NT","false"
"2","A2","8","nCoV","1098915.625","-2526.851840448832","Spike-In NT","false"
"2","A2","9","nCoV","1101827.375","-477.10509031199456","Spike-In NT","false"
"2","A2","10","nCoV","1101210.875","-1955.608340175157","Spike-In NT","false"
"2","A2","11","nCoV","1100441.5","-3586.9865900383197","Spike-In NT","false"
"2","A2","12","nCoV","1103616.125","-1274.3648399014824","Spike-In NT","false"
"2","A2","13","nCoV","1105570.375","-182.1180897646451","Spike-In NT","false"
"2","A2","14","nCoV","1107344.0","729.5036603721923","Spike-In NT","false"
"2","A2","15","nCoV","1110343.0","2866.5004105090297","Spike-In NT","false"
"2","A2","16","nCoV","1113018.75","4680.247160645867","Spike-In NT","false"
"2","A2","17","nCoV","1113037.25","3836.7439107827045","Spike-In NT","false"
"2","A2","18","nCoV","1114846.0","4783.490660919541","Spike-In NT","false"
"2","A2","19","nCoV","1110825.625","-98.88758894362093","Spike-In NT","false"
"2","A2","20","nCoV","1112922.875","1136.3591611932166","Spike-In NT","false"
"2","A2","21","nCoV","1115417.375","2768.855911330054","Spike-In NT","false"
"2","A2","22","nCoV","1114955.875","1445.3526614668913","Spike-In NT","false"
"2","A2","23","nCoV","1112803.375","-1569.1505883962714","Spike-In NT","false"
"2","A2","24","nCoV","1115708.0","473.4711617405659","Spike-In NT","false"
"2","A2","25","nCoV","1117171.0","1074.4679118774034","Spike-In NT","false"
"2","A2","26","nCoV","1114799.0","-2159.5353379857593","Spike-In NT","false"
"2","A2","27","nCoV","1116026.875","-1793.663587848922","Spike-In NT","false"
"2","A2","28","nCoV","1116690.375","-1992.1668377120845","Spike-In NT","false"
"2","A2","29","nCoV","1117962.125","-1582.4200875752472","Spike-In NT","false"
"2","A2","30","nCoV","1117711.25","-2695.29833743841","Spike-In NT","false"
"2","A2","31","nCoV","1118721.875","-2546.6765873015725","Spike-In NT","false"
"2","A2","32","nCoV","1124018.25","1887.695162835265","Spike-In NT","false"
"2","A2","33","nCoV","1130242.75","7250.191912972102","Spike-In NT","false"
"2","A2","34","nCoV","1136714.75","12860.18866310894","Spike-In NT","false"
"2","A2","35","nCoV","1157762.875","33046.310413245774","Spike-In NT","false"
"2","A2","36","nCoV","1189489.625","63911.05716338261","Spike-In NT","false"
"2","A2","37","nCoV","1250922.75","124482.17891351946","Spike-In NT","false"
"2","A2","38","nCoV","1343347.875","216045.3006636563","Spike-In NT","false"
"2","A2","39","nCoV","1470388.875","342224.2974137931","Spike-In NT","false"
"2","A2","40","nCoV","1599009.625","469983.04416392994","Spike-In NT","false"
"2","A2","41","nCoV","1694901.625","565013.0409140668","Spike-In NT","false"
"2","A2","42","nCoV","1755916.5","625165.9126642037","Spike-In NT","false"
"2","A2","43","nCoV","1793320.25","661707.6594143405","Spike-In NT","false"
"2","A2","44","nCoV","1820777.75","688303.1561644773","Spike-In NT","false"
"2","A2","45","nCoV","1835675.0","702338.4029146142","Spike-In NT","false"
"2","A2","46","nCoV","1848116.0","713917.399664751","Spike-In NT","false"
"2","A2","47","nCoV","1860729.625","725669.0214148879","Spike-In NT","false"
