# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"1","A1","1","-9880.117","1113556.2"
"1","A1","2","-4188.7466","1086300.9"
"1","A1","3","-4111.7524","1095219.8"
"1","A1","4","-4085.8474","1095898.2"
"1","A1","5","-4226.85","1096524.8"
"1","A1","6","-4069.2856","1097040.2"
"1","A1","7","-4190.413","1098039.6"
"1","A1","8","-4557.446","1100018.9"
"1","A1","9","-4123.86","1100743.4"
"1","A1","10","-4489.958","1101720.6"
"1","A1","11","-4853.2534","1102068.0"
"1","A1","12","-4887.434","1105064.4"
"1","A1","13","-4598.2334","1105601.4"
"1","A1","14","-4774.3296","1106765.0"
"1","A1","15","-4693.95","1110974.2"
"1","A1","16","-4528.6914","1109625.0"
"1","A1","17","-4484.3027","1109681.4"
"1","A1","18","-4971.4243","1111698.9"
"1","A1","19","-4954.688","1110929.6"
"1","A1","20","-4727.648","1110341.6"
"1","A1","21","-5019.464","1111427.8"
"1","A1","22","-4884.3706","1111737.2"
"1","A1","23","-5295.7915","1112658.5"
"1","A1","24","-5344.471","1114444.2"
"1","A1","25","-5221.826","1112726.0"
"1","A1","26","-5230.701","1114713.0"
"1","A1","27","-5163.9824","1114891.6"
"1","A1","28","-5122.0156","1114922.4"
"1","A1","29","-5467.0703","1115699.5"
"1","A1","30","-5418.122","1117301.9"
"1","A1","31","-5469.012","1119384.2"
"1","A1","32","-5341.439","1122514.4"
"1","A1","33","-5450.201","1129395.1"
"1","A1","34","-6495.645","1144174.6"
"1","A1","35","-6954.6367","1171193.4"
"1","A1","36","-8289.093","1218986.0"
"1","A1","37","-11773.404","1304593.8"
"1","A1","38","-16306.194","1434244.2"
"1","A1","39","-21782.84","1587636.2"
"1","A1","40","-27039.006","1731244.6"
"1","A1","41","-30411.646","1832850.2"
"1","A1","42","-31917.7","1894651.8"
"1","A1","43","-33335.367","1930879.8"
"1","A1","44","-34322.12","1956186.8"
"1","A1","45","-34138.36","1969840.2"
"1","A1","46","-35168.375","1987150.6"
"1","A1","47","-35597.23","2000182.4"
"1","A1","48","-35758.137","2010410.8"
"1","A1","49","-36146.164","2020948.5"
"1","A1","50","-36400.156","2028707.2"
"1","A1","51","-36662.254","2034424.4"
"1","A1","52","-36176.395","2038732.2"
"2","A2","1","-3080.1458","1124578.9"
"2","A2","2","2824.9045","1089133.1"
"2","A2","3","2593.1587","1094144.8"
"2","A2","4","2684.66","1094193.4"
"2","A2","5","2118.2744","1098920.4"
"2","A2","6","2180.0828","1098797.6"
"2","A2","7","1994.2618","1099569.2"
"2","A2","8","1921.5408","1100900.9"
"2","A2","9","2415.532","1098915.6"
"2","A2","10","1756.5189","1101827.4"
"2","A2","11","1943.4397","1101210.9"
"2","A2","12","2052.8103","1100441.5"
"2","A2","13","2177.0945","1103616.1"
"2","A2","14","2058.9236","1105570.4"
"2","A2","15","2523.3193","1107344.0"
"2","A2","16","2024.4156","1110343.0"
"2","A2","17","2058.656","1113018.8"
"2","A2","18","2002.09","1113037.2"
"2","A2","19","1770.0791","1114846.0"
"2","A2","20","1940.2866","1110825.6"
"2","A2","21","1992.8542","1112922.9"
"2","A2","22","1598.0618","1115417.4"
"2","A2","23","2073.8594","1114955.9"
"2","A2","24","2110.92","1112803.4"
"2","A2","25","1807.7369","1115708.0"
"2","A2","26","1558.9083","1117171.0"
"2","A2","27","1973.117","1114799.0"
"2","A2","28","1703.517","1116026.9"
"2","A2","29","1959.1357","1116690.4"
"2","A2","30","1644.4467","1117962.1"
"2","A2","31","1838.0171","1117711.2"
"2","A2","32","2005.659","1118721.9"
"2","A2","33","1648.7085","1124018.2"
"2","A2","34","1433.1276","1130242.8"
"2","A2","35","1170.4141","1136714.8"
"2","A2","36","674.77136","1157762.9"
"2","A2","37","-334.69727","1189489.6"
"2","A2","38","-2046.9805","1250922.8"
"2","A2","39","-4863.9194","1343347.9"
"2","A2","40","-8563.374","1470388.9"
"2","A2","41","-12141.669","1599009.6"
"2","A2","42","-14947.408","1694901.6"
"2","A2","43","-16362.447","1755916.5"
"2","A2","44","-17728.312","1793320.2"
"2","A2","45","-17994.236","1820777.8"
"2","A2","46","-18521.418","1835675.0"
"2","A2","47","-18577.379","1848116.0"
