# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"1","A1","Spike-In NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","13336.662","true","3","49","-6534.571840580917","Negative","Undetermined",,"false"
"1","A1","Spike-In NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","34.334176165173844","34.62217243032318","0.7922930943193779","1.143681907733328","false","60000.0","true","3","27","897851.6657692309","Positive","Undetermined",,"false"
"2","A2","Spike-In NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","13336.662","true","3","49","-6027.589939960831","Negative","Undetermined",,"false"
"2","A2","Spike-In NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","35.882325534002476","34.62217243032318","0.7648336718784289","1.143681907733328","false","60000.0","true","3","30","750163.2616652984","Positive","Undetermined",,"false"
"3","A3","Spike-In NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","13336.662","true","3","49","-4241.027390274483","Negative","Undetermined",,"false"
"3","A3","Spike-In NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","33.65001559179322","34.62217243032318","0.8125198437430726","1.143681907733328","false","60000.0","true","3","26","913957.8823369566","Positive","Undetermined",,"false"
"4","A4","Spike-In NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.959668480580902","23.400840168238307","0.986059847213424","0.5770644172923559","false","30000.0","true","3","17","658524.015625","Positive","Positive",,"false"
"5","A5","Spike-In NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.435729256876975","23.400840168238307","0.9863047831462657","0.5770644172923559","false","30000.0","true","3","14","764264.1199009324","Positive","Positive",,"false"
"6","A6","Spike-In NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.807122767257056","23.400840168238307","0.9869084326678368","0.5770644172923559","false","30000.0","true","3","14","745805.4158380682","Positive","Positive",,"false"
"8","A8","Water",,"IEC","NTC","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","13336.662","true","3","49","358.460972732135","Negative","Undetermined",,"false"
