# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"No Spike-In","Endo","4","0.0","0","23.117292101250353","0.4352826417368713","0.21764132086843566",
"No Spike-In","IEC","4","0.0","0","34.924401145713745","1.7667402105439853","0.8833701052719927",
"No Spike-In","nCoV","4","0.0","0","","","",
"PCD 4","IEC","1","0.0","0","","","",
"PCD 4","nCoV","1","0.0","0","28.773152416505283","","",
"Spike-In CC","Endo","4","0.0","0","23.925524602624435","0.8798303081077736","0.4399151540538868",
"Spike-In CC","IEC","4","0.0","0","36.93368012923113","3.3198217115485495","1.9166999588241194",
"Spike-In CC","nCoV","4","0.0","0","35.068627718688745","1.608331227036924","0.804165613518462",
"Spike-In CM","Endo","3","0.0","0","21.868715091078172","0.3280565615018944","0.18940354409254176",
"Spike-In CM","IEC","3","0.0","0","36.64463154128075","1.6533465168058052","0.9545600565415618",
"Spike-In CM","nCoV","3","0.0","0","34.957799888684434","1.1190549564237473","0.6460866803292354",
"Spike-In DC","Endo","3","0.0","0","22.11805247777356","0.28235370431161466","0.16301698719099872",
"Spike-In DC","IEC","3","0.0","0","39.861447039794335","","",
"Spike-In DC","nCoV","3","0.0","0","35.38814815677855","0.5205764546947804","0.3005549562518125",
"Spike-In DG","Endo","2","0.0","0","23.419459392458","0.08210157835152486","0.05805458279848187",
"Spike-In DG","IEC","2","0.0","0","35.11380919703119","0.21094978594064864","0.14916402412848326",
"Spike-In DG","nCoV","2","0.0","0","35.18154910876087","0.293753741175836","0.2077152623843516",
"Spike-In MM","Endo","2","0.0","0","22.59462137610716","0.23978729040850877","0.16955521909020452",
"Spike-In MM","IEC","2","0.0","0","35.16600728893857","2.5111325593568377","1.7756388611795504",
"Spike-In MM","nCoV","2","0.0","0","35.11261996344332","1.2988930796532292","0.9184561046590767",
"Spike-In NT","Endo","3","0.0","0","23.400840168238307","0.5770644172923559","0.33316829666349623",
"Spike-In NT","IEC","3","0.0","0","","","",
"Spike-In NT","nCoV","3","0.0","0","34.62217243032318","1.143681907733328","0.6603050572971417",
"Spike-In WC","Endo","3","0.0","0","23.094244990998877","0.4994873092070615","0.28837913242749885",
"Spike-In WC","IEC","3","0.0","0","","","",
"Spike-In WC","nCoV","3","0.0","0","34.944333675737816","0.8595320284884135","0.4962510480248906",
"Water","Endo","1","0.0","0","38.132898824709365","","",
"Water","IEC","1","0.0","0","","","",
"Water","nCoV","1","0.0","0","","","",
