# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Spike-In NT","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","1.0283203143698003","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"1","A1","false","Spike-In NT","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8614224247947497","","","34.334176165173844","0.7922930943193779","34.62217243032318","1.143681907733328","false","60000.0","true","3","27"
"2","A2","false","Spike-In NT","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"2","A2","false","Spike-In NT","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8236811532001114","","","35.882325534002476","0.7648336718784289","34.62217243032318","1.143681907733328","false","60000.0","true","3","30"
"3","A3","false","Spike-In NT","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"3","A3","false","Spike-In NT","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8683644844287954","","","33.65001559179322","0.8125198437430726","34.62217243032318","1.143681907733328","false","60000.0","true","3","26"
"4","A4","false","Spike-In NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.727957780361788","","","23.959668480580902","0.986059847213424","23.400840168238307","0.5770644172923559","false","30000.0","true","3","17"
"5","A5","false","Spike-In NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.749707481027151","","","23.435729256876975","0.9863047831462657","23.400840168238307","0.5770644172923559","false","30000.0","true","3","14"
"6","A6","false","Spike-In NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.746349808793003","","","22.807122767257056","0.9869084326678368","23.400840168238307","0.5770644172923559","false","30000.0","true","3","14"
"8","A8","false","Water","IEC","NTC","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"8","A8","false","Water","nCoV","NTC","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","true","3","49"
"13","B1","false","Spike-In CC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.152297241291807","","","38.361827256873404","0.9313779820744275","36.93368012923113","3.3198217115485495","false","13336.662","true","3","30"
"13","B1","false","Spike-In CC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.814159718686822","","","37.47221341454215","0.622857185760043","35.068627718688745","1.608331227036924","false","60000.0","true","3","30"
"14","B2","false","Spike-In CC","IEC","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.0","","","Undetermined","0.0","","","false","13336.662","true","3","49"
"14","B2","false","Spike-In CC","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8639896476480238","","","34.34278990959197","0.6642731011776171","35.068627718688745","1.608331227036924","false","60000.0","true","3","28"
"15","B3","false","No Spike-In","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.327635245559233","","","36.00959184083032","0.9849344461720837","34.924401145713745","1.7667402105439853","false","13336.662","true","3","28"
"15","B3","false","No Spike-In","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","true","3","49"
"16","B4","false","Spike-In CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.744667404791725","","","24.453981962283365","0.9814028433759192","23.925524602624435","0.8798303081077736","false","30000.0","true","3","17"
"17","B5","false","Spike-In CC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.732153993400831","","","24.361064926686943","0.9827424848311559","23.925524602624435","0.8798303081077736","false","30000.0","true","3","19"
