# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","1","2","3","4","5"
"1","A1","1","111426.414","11550.086","1139.5793","562.3248","429.93585"
"2","A2","1","98390.39","9232.851","878.82245","0.0","0.0"
"3","A3","1","105373.99","9385.552","952.30475","0.0","1928.1757"
"4","A4","1","68500.65","4359.023","0.0","0.0","0.0"
"5","A5","1","71720.945","4500.446","0.0","0.0","29.54999"
"6","A6","1","69175.63","3893.1997","0.0","0.0","398.7149"
"7","A7","1","0.0","0.0","0.0","0.0","0.0"
"8","A8","1","98530.67","8615.516","531.40234","0.0","195.06566"
"9","A9","1","0.0","77.262184","0.0","0.0","620.0256"
"10","A10","1","0.0","188.41881","240.75995","37.27511","1372.5175"
"11","A11","1","0.0","368.86652","53.276638","0.0","452.16724"
"12","A12","1","0.0","76.578156","0.0","0.0","0.0"
"13","B1","1","107088.98","9888.238","946.9422","760.67255","1776.1493"
"14","B2","1","103921.27","9162.551","914.8949","127.37106","295.25394"
"15","B3","1","100973.86","8203.486","683.55505","0.0","145.98923"
"16","B4","1","72934.055","4750.3594","86.20872","0.0","379.54092"
"17","B5","1","68491.27","4077.2017","0.0","0.0","100.6577"
"18","B6","1","74654.984","4670.853","219.14584","126.22134","290.73264"
"19","B7","1","0.0","0.0","0.0","0.0","0.0"
"20","B8","1","108802.14","8279.659","599.59656","34.44039","134.06808"
"21","B9","1","0.0","99.19139","96.04168","25.63608","0.0"
"22","B10","1","0.0","0.0","0.0","0.0","747.4802"
"23","B11","1","0.0","868.30035","517.4716","110.58552","2132.0305"
"24","B12","1","0.0","0.0","0.0","0.0","87.70398"
"25","C1","1","113027.78","10528.529","615.8128","429.51358","3799.5967"
"26","C2","1","101508.4","8193.9795","282.4624","0.0","0.0"
"27","C3","1","103802.79","8170.0645","383.16675","0.0","234.39087"
"28","C4","1","73032.64","4130.181","89.90856","0.0","0.0"
