# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","IEC","-10408.765625","672.4434237637367","Neg NT","false"
"1","A1","2","IEC","-10658.3125","462.42818509615313","Neg NT","false"
"1","A1","3","IEC","-10847.9609375","312.31138392857133","Neg NT","false"
"1","A1","4","IEC","-11230.4140625","-30.610104739010453","Neg NT","false"
"1","A1","5","IEC","-11202.3203125","37.01528159340593","Neg NT","false"
"1","A1","6","IEC","-11370.40625","-91.53901957417587","Neg NT","false"
"1","A1","7","IEC","-11416.3515625","-97.95269574175767","Neg NT","false"
"1","A1","8","IEC","-11301.109375","56.82112809065872","Neg NT","false"
"1","A1","9","IEC","-11588.1015625","-190.6394230769231","Neg NT","false"
"1","A1","10","IEC","-11681.8046875","-244.8109117445049","Neg NT","false"
"1","A1","11","IEC","-11552.046875","-75.5214629120885","Neg NT","false"
"1","A1","12","IEC","-11501.921875","14.135173420329707","Neg NT","false"
"1","A1","13","IEC","-11615.46875","-59.88006524725209","Neg NT","false"
"1","A1","14","IEC","-11419.2421875","175.87813358516428","Neg NT","false"
"1","A1","15","IEC","-11439.859375","194.79258241758248","Neg NT","false"
"1","A1","16","IEC","-12007.7265625","-333.5429687499993","Neg NT","false"
"1","A1","17","IEC","-11850.515625","-136.80039491758293","Neg NT","false"
"1","A1","18","IEC","-11819.3515625","-66.10469608516472","Neg NT","false"
"1","A1","19","IEC","-11956.890625","-164.11212225274653","Neg NT","false"
"1","A1","20","IEC","-12082.9453125","-250.63517342033015","Neg NT","false"
"1","A1","21","IEC","-12318.5","-446.65822458791195","Neg NT","false"
"1","A1","22","IEC","-11922.671875","-11.298463255495548","Neg NT","false"
"1","A1","23","IEC","-12009.015625","-58.110576923077346","Neg NT","false"
"1","A1","24","IEC","-11813.953125","176.48355940934084","Neg NT","false"
"1","A1","25","IEC","-11978.8828125","51.08550824175724","Neg NT","false"
"1","A1","26","IEC","-11006.234375","1063.2655820741754","Neg NT","false"
"1","A1","27","IEC","-10733.328125","1375.7034684065936","Neg NT","false"
"1","A1","28","IEC","-8639.078125","3509.4851047390102","Neg NT","false"
"1","A1","29","IEC","-5112.796875","7075.297991071428","Neg NT","false"
"1","A1","30","IEC","428.15625","12655.782752403846","Neg NT","false"
"1","A1","31","IEC","10265.34375","22532.501888736264","Neg NT","false"
"1","A1","32","IEC","25207.78125","37514.471025068684","Neg NT","false"
"1","A1","33","IEC","44842.109375","57188.3307864011","Neg NT","false"
"1","A1","34","IEC","64721.15625","77106.90929773351","Neg NT","false"
"1","A1","35","IEC","81478.203125","93903.48780906593","Neg NT","false"
"1","A1","36","IEC","93170.46875","105635.28507039834","Neg NT","false"
"1","A1","37","IEC","100132.53125","112636.87920673077","Neg NT","false"
"1","A1","38","IEC","103385.25","115929.12959306317","Neg NT","false"
"1","A1","39","IEC","105712.6875","118296.0987293956","Neg NT","false"
"1","A1","40","IEC","107244.859375","119867.80224072802","Neg NT","false"
"1","A1","41","IEC","108535.78125","121198.25575206043","Neg NT","false"
"1","A1","42","IEC","108945.625","121647.63113839286","Neg NT","false"
"1","A1","43","IEC","109745.578125","122487.11589972526","Neg NT","false"
"1","A1","44","IEC","110725.875","123506.94441105769","Neg NT","false"
"1","A1","45","IEC","111466.046875","124286.64792239011","Neg NT","false"
"1","A1","46","IEC","112161.65625","125021.78893372252","Neg NT","false"
"1","A1","47","IEC","112763.765625","125663.42994505494","Neg NT","false"
"1","A1","48","IEC","113013.734375","125952.93033138735","Neg NT","false"
"1","A1","49","IEC","113511.5","126490.22759271978","Neg NT","false"
"1","A1","50","IEC","113972.140625","126990.39985405219","Neg NT","false"
"1","A1","1","nCoV","1183334.75","1363.9532967032328","Neg NT","false"
"1","A1","2","nCoV","1188305.875","4831.466346153936","Neg NT","false"
"1","A1","3","nCoV","1188582.75","3604.729395604406","Neg NT","false"
"1","A1","4","nCoV","1188888.75","2407.117445054876","Neg NT","false"
"1","A1","5","nCoV","1188739.625","754.380494505579","Neg NT","false"
"1","A1","6","nCoV","1189237.875","-250.98145604395086","Neg NT","false"
"1","A1","7","nCoV","1188744.625","-2247.8434065934807","Neg NT","false"
"1","A1","8","nCoV","1188252.875","-4243.205357142778","Neg NT","false"
"1","A1","9","nCoV","1191340.25","-2659.4423076923076","Neg NT","false"
"1","A1","10","nCoV","1192309.375","-3193.9292582418375","Neg NT","false"
"1","A1","11","nCoV","1195646.25","-1360.6662087911345","Neg NT","false"
"1","A1","12","nCoV","1200277.625","1767.0968406593356","Neg NT","false"
"1","A1","13","nCoV","1201787.125","1772.9848901098057","Neg NT","false"
"1","A1","14","nCoV","1202704.625","1186.8729395605087","Neg NT","false"
"1","A1","15","nCoV","1205484.25","2462.885989010979","Neg NT","false"
"1","A1","16","nCoV","1209271.25","4746.274038461449","Neg NT","false"
"1","A1","17","nCoV","1205261.625","-766.962912087848","Neg NT","false"
"1","A1","18","nCoV","1208458.875","926.6751373626221","Neg NT","false"
"1","A1","19","nCoV","1208970.125","-65.68681318690778","Neg NT","false"
"1","A1","20","nCoV","1210391.125","-148.29876373620482","Neg NT","false"
"1","A1","21","nCoV","1210039.5","-2003.5357142857347","Neg NT","false"
"1","A1","22","nCoV","1210726.125","-2820.5226648350317","Neg NT","false"
"1","A1","23","nCoV","1210688.125","-4362.134615384562","Neg NT","false"
"1","A1","24","nCoV","1212805.25","-3748.6215659340914","Neg NT","false"
"1","A1","25","nCoV","1212474.875","-5582.6085164833885","Neg NT","false"
"1","A1","26","nCoV","1212292.375","-7268.720467032918","Neg NT","false"
"1","A1","27","nCoV","1212865.375","-8199.33241758245","Neg NT","false"
"1","A1","28","nCoV","1212830.75","-9737.569368131746","Neg NT","false"
"1","A1","29","nCoV","1212938.375","-11133.556318681276","Neg NT","false"
"1","A1","30","nCoV","1213671.5","-11904.043269230806","Neg NT","false"
