# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"1","A1","1","-16190.219","1216303.5"
"1","A1","2","-10408.766","1183334.8"
"1","A1","3","-10658.3125","1188305.9"
"1","A1","4","-10847.961","1188582.8"
"1","A1","5","-11230.414","1188888.8"
"1","A1","6","-11202.32","1188739.6"
"1","A1","7","-11370.406","1189237.9"
"1","A1","8","-11416.352","1188744.6"
"1","A1","9","-11301.109","1188252.9"
"1","A1","10","-11588.102","1191340.2"
"1","A1","11","-11681.805","1192309.4"
"1","A1","12","-11552.047","1195646.2"
"1","A1","13","-11501.922","1200277.6"
"1","A1","14","-11615.469","1201787.1"
"1","A1","15","-11419.242","1202704.6"
"1","A1","16","-11439.859","1205484.2"
"1","A1","17","-12007.727","1209271.2"
"1","A1","18","-11850.516","1205261.6"
"1","A1","19","-11819.352","1208458.9"
"1","A1","20","-11956.891","1208970.1"
"1","A1","21","-12082.945","1210391.1"
"1","A1","22","-12318.5","1210039.5"
"1","A1","23","-11922.672","1210726.1"
"1","A1","24","-12009.016","1210688.1"
"1","A1","25","-11813.953","1212805.2"
"1","A1","26","-11978.883","1212474.9"
"1","A1","27","-11006.234","1212292.4"
"1","A1","28","-10733.328","1212865.4"
"1","A1","29","-8639.078","1212830.8"
"1","A1","30","-5112.797","1212938.4"
"1","A1","31","428.15625","1213671.5"
"1","A1","32","10265.344","1212985.2"
"1","A1","33","25207.781","1211795.8"
"1","A1","34","44842.11","1212406.6"
"1","A1","35","64721.156","1211326.2"
"1","A1","36","81478.2","1212720.5"
"1","A1","37","93170.47","1213744.4"
"1","A1","38","100132.53","1210870.8"
"1","A1","39","103385.25","1212497.5"
"1","A1","40","105712.69","1213096.4"
"1","A1","41","107244.86","1212243.0"
"1","A1","42","108535.78","1212913.2"
"1","A1","43","108945.625","1215272.4"
"1","A1","44","109745.58","1214937.5"
"1","A1","45","110725.875","1214793.5"
"1","A1","46","111466.05","1215758.0"
"1","A1","47","112161.66","1214752.6"
"1","A1","48","112763.766","1215845.9"
"1","A1","49","113013.734","1216132.6"
"1","A1","50","113511.5","1215479.1"
"1","A1","51","113972.14","1215053.4"
"1","A1","52","109254.375","1243946.5"
"2","A2","1","-6162.547","1222208.1"
"2","A2","2","-1641.3203","1207595.6"
"2","A2","3","-2182.086","1213092.5"
"2","A2","4","-2251.9844","1214386.4"
"2","A2","5","-2713.164","1215750.4"
"2","A2","6","-2770.1094","1217623.1"
"2","A2","7","-2972.3203","1217123.9"
"2","A2","8","-2675.1562","1216757.9"
"2","A2","9","-2763.7188","1216983.2"
"2","A2","10","-3076.9375","1218783.8"
"2","A2","11","-3307.4375","1220763.9"
"2","A2","12","-3201.0156","1219918.1"
"2","A2","13","-3346.711","1221629.1"
"2","A2","14","-3301.461","1222474.5"
"2","A2","15","-3324.7031","1227577.5"
"2","A2","16","-3166.4766","1227722.2"
"2","A2","17","-3152.9688","1229724.2"
"2","A2","18","-3603.6328","1232496.0"
"2","A2","19","-3375.125","1231788.6"
"2","A2","20","-3684.8281","1234694.2"
"2","A2","21","-3275.7344","1237420.4"
"2","A2","22","-3935.0703","1238762.8"
"2","A2","23","-3545.5781","1238788.2"
"2","A2","24","-3557.7578","1242661.2"
"2","A2","25","-3787.5781","1241614.5"
"2","A2","26","-3218.8516","1242466.4"
"2","A2","27","-2977.3516","1242902.5"
"2","A2","28","-1166.2344","1241951.1"
"2","A2","29","1357.7578","1239804.8"
"2","A2","30","5699.4062","1243529.5"
"2","A2","31","13955.031","1242392.9"
"2","A2","32","27342.11","1242406.9"
"2","A2","33","46108.414","1241627.5"
"2","A2","34","67630.766","1238262.9"
"2","A2","35","87214.09","1235411.1"
"2","A2","36","102388.81","1236487.4"
"2","A2","37","112359.58","1238048.4"
"2","A2","38","118946.05","1237817.5"
"2","A2","39","123017.8","1236007.0"
"2","A2","40","125153.125","1236930.9"
"2","A2","41","126814.37","1236953.2"
"2","A2","42","128067.375","1234276.4"
"2","A2","43","129724.29","1232105.6"
"2","A2","44","130329.836","1232582.2"
"2","A2","45","130967.57","1233815.5"
"2","A2","46","132012.53","1230022.1"
"2","A2","47","132614.34","1229310.2"
"2","A2","48","133134.31","1228266.0"
"2","A2","49","134287.02","1227134.5"
"2","A2","50","134920.9","1225465.0"
"2","A2","51","135353.7","1223023.2"
"2","A2","52","130450.75","1238124.4"
"3","A3","1","-1788.8047","1278216.6"
"3","A3","2","2956.8672","1253189.5"
"3","A3","3","2571.9531","1255880.0"
"3","A3","4","2719.5469","1254872.6"
"3","A3","5","2412.664","1256951.4"
"3","A3","6","2322.664","1256543.2"
"3","A3","7","1854.7109","1258351.6"
"3","A3","8","1917.9766","1257827.6"
"3","A3","9","2098.5547","1257961.6"
"3","A3","10","1914.3516","1258051.4"
"3","A3","11","1393.1094","1262556.1"
"3","A3","12","1873.9219","1259482.8"
"3","A3","13","1581.0469","1264128.9"
"3","A3","14","1987.0156","1265446.1"
"3","A3","15","1918.9453","1268104.6"
"3","A3","16","2007.3516","1268889.1"
"3","A3","17","1377.0156","1273696.9"
"3","A3","18","1656.375","1271334.0"
"3","A3","19","1539.6953","1272199.6"
