# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"1","A1","Neg NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","29.4397195185675","28.8869321880263","0.9836378326670847","0.7817593399592637","false","9000.0","false","3","15","126990.39985405219","Positive","Undetermined",,"false"
"1","A1","Neg NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-40594.40728021977","Negative","Undetermined",,"false"
"2","A2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.788442131539767","28.86267436383994","0.9856149107251062","0.1179077474770031","false","9000.0","false","3","15","141359.92269059067","Positive","Undetermined",,"false"
"2","A2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-37823.009615384704","Negative","Undetermined",,"false"
"3","A3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.75118683059062","26.872144612682405","0.9858151395999092","0.15375283951761778","false","9000.0","false","3","15","158658.5566620879","Positive","Undetermined",,"false"
"3","A3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-24583.41071428579","Negative","Undetermined",,"false"
"4","A4","Neg NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.51193642729318","24.217542537457174","0.9853257875529485","0.41633583168597554","false","30000.0","true","3","13","701007.1596590909","Positive","Positive",,"false"
"5","A5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","21.97000466119733","22.358725990296122","0.9891341915855392","0.41880775600948994","false","30000.0","true","3","14","697013.9081621504","Positive","Positive",,"false"
"6","A6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-125.9643414662287","Negative","Negative",,"false"
"8","A8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","9000.0","false","3","15","-28034.38143887363","Negative","Undetermined",,"false"
"8","A8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","27.81384314035347","27.8415327064415","0.7629191784775671","0.0508577126795586","false","60000.0","false","3","15","1471233.1792582418","Positive","Undetermined",,"false"
"13","B1","Neg NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.3341448574851","28.8869321880263","0.9905436016947918","0.7817593399592637","false","9000.0","false","3","15","156282.29163804944","Positive","Undetermined",,"false"
"13","B1","Neg NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-56049.29807692308","Negative","Undetermined",,"false"
"14","B2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.998630849682442","28.86267436383994","0.985993237873275","0.1179077474770031","false","9000.0","false","3","15","141252.52030391485","Positive","Undetermined",,"false"
"14","B2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-37866.745192307746","Negative","Undetermined",,"false"
"15","B3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","27.04517059109004","26.872144612682405","0.9890201385407926","0.15375283951761778","false","9000.0","false","3","15","144496.00798420332","Positive","Undetermined",,"false"
"15","B3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-46755.43956043956","Negative","Undetermined",,"false"
"16","B4","Neg NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.92314864762117","24.217542537457174","0.9913081440360021","0.41633583168597554","false","30000.0","true","3","16","739111.1679773352","Positive","Positive",,"false"
"17","B5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.802228647936857","22.358725990296122","0.9908819842775107","0.41880775600948994","false","30000.0","true","3","16","690990.6525068681","Positive","Positive",,"false"
"18","B6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-307.6417741096155","Negative","Negative",,"false"
"20","B8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","9000.0","false","3","15","-19876.42857142857","Negative","Undetermined",,"false"
"20","B8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","27.900226936379042","27.8415327064415","0.7756243998087958","0.0508577126795586","false","60000.0","false","3","15","1482455.0151098901","Positive","Undetermined",,"false"
"25","C1","Neg MM",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","29.53804347325351","29.14877143948184","0.9877358469587263","0.5505137896124556","false","9000.0","false","3","15","159499.3963341346","Positive","Undetermined",,"false"
"25","C1","Neg MM",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-51291.63942307691","Negative","Undetermined",,"false"
"26","C2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.800950110297606","28.86267436383994","0.9888870403867591","0.1179077474770031","false","9000.0","false","3","15","148337.94788804944","Positive","Undetermined",,"false"
"26","C2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-53538.3763736264","Negative","Undetermined",,"false"
"27","C3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.820076416366547","26.872144612682405","0.990760656447088","0.15375283951761778","false","9000.0","false","3","15","161542.3655992445","Positive","Undetermined",,"false"
"27","C3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-87826.26579670339","Negative","Undetermined",,"false"
"28","C4","Neg MM",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.99222661946652","22.725694818558406","0.9887733890461217","0.3769328876481075","false","30000.0","true","3","16","754506.9987122254","Positive","Positive",,"false"
"29","C5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.30394466175418","22.358725990296122","0.9892896106166246","0.41880775600948994","false","30000.0","true","3","15","720093.3211280907","Positive","Positive",,"false"
"30","C6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-1145.7413925185033","Negative","Negative",,"false"
