# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"Empty","Endo","1","0.0","0","","","",
"Empty","IEC","1","0.0","0","25.29291474381599","","",
"Empty","nCoV","1","0.0","0","","","",
"ICD","IEC","3","0.0","0","18.89868039170757","0.08007432791848752","0.04623093477891714",
"ICD","nCoV","3","0.0","0","","","",
"Neg CC","Endo","4","0.0","0","24.697966979480043","0.4787833474175897","0.23939167370879486",
"Neg CC","IEC","4","0.0","0","28.51308521442099","0.28168620055400306","0.14084310027700153",
"Neg CC","nCoV","4","0.0","0","","","",
"Neg DC","Endo","3","0.0","0","22.358725990296122","0.41880775600948994","0.24179877067078215",
"Neg DC","IEC","3","0.0","0","28.86267436383994","0.1179077474770031","0.06807406974539015",
"Neg DC","nCoV","3","0.0","0","","","",
"Neg DG","Endo","2","0.0","0","23.702850644469255","0.039550813176529816","0.027966648198566486",
"Neg DG","IEC","2","0.0","0","29.44474748558157","0.5106123886687436","0.3610574825855296",
"Neg DG","nCoV","2","0.0","0","","","",
"Neg MM","Endo","2","0.0","0","22.725694818558406","0.3769328876481075","0.26653180090820383",
"Neg MM","IEC","2","0.0","0","29.14877143948184","0.5505137896124556","0.38927203377167163",
"Neg MM","nCoV","2","0.0","0","","","",
"Neg NT","Endo","2","0.0","0","24.217542537457174","0.41633583168597554","0.2943938898360944",
"Neg NT","IEC","2","0.0","0","28.8869321880263","0.7817593399592637","0.5527873305411148",
"Neg NT","nCoV","2","0.0","0","","","",
"Neg WC","Endo","2","0.0","0","23.772284875836498","0.15494437192720933","0.10956221609642024",
"Neg WC","IEC","2","0.0","0","28.861096730723254","0.18625779931497238","0.13170415294450005",
"Neg WC","nCoV","2","0.0","0","","","",
"Negative Control","Endo","1","0.0","0","35.01505988121363","","",
"Negative Control","IEC","1","0.0","0","","","",
"Negative Control","nCoV","1","0.0","0","","","",
"PCD 4","IEC","3","0.0","0","","","",
"PCD 4","nCoV","3","0.0","0","27.8415327064415","0.0508577126795586","0.029362714105911805",
"Water","Endo","2","0.0","0","37.931067014128345","","",
"Water","IEC","2","0.0","0","26.497164730140707","0.11907701687384575","0.08420016611496127",
"Water","nCoV","2","0.0","0","","","",
"buffer and PCD 4","Endo","3","0.0","0","","","",
"buffer and PCD 4","IEC","3","0.0","0","27.164598228900527","0.9128407404757404","0.527028847240926",
"buffer and PCD 4","nCoV","3","0.0","0","32.73163906360701","0.2175031607623102","0.12557550841571424",
"buffer only","Endo","3","0.0","0","","","",
"buffer only","IEC","3","0.0","0","26.872144612682405","0.15375283951761778","0.08876924328416597",
"buffer only","nCoV","3","0.0","0","","","",
