# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Neg NT","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.426279212066566","","","29.4397195185675","0.9836378326670847","28.8869321880263","0.7817593399592637","false","9000.0","false","3","15"
"1","A1","false","Neg NT","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"2","A2","false","Neg DC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4376658090086982","","","28.788442131539767","0.9856149107251062","28.86267436383994","0.1179077474770031","false","9000.0","false","3","15"
"2","A2","false","Neg DC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"3","A3","false","buffer only","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.456465480201612","","","26.75118683059062","0.9858151395999092","26.872144612682405","0.15375283951761778","false","9000.0","false","3","15"
"3","A3","false","buffer only","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"4","A4","false","Neg NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.735718413041845","","","24.51193642729318","0.9853257875529485","24.217542537457174","0.41633583168597554","false","30000.0","true","3","13"
"5","A5","false","Neg DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7258745258938166","","","21.97000466119733","0.9891341915855392","22.358725990296122","0.41880775600948994","false","30000.0","true","3","14"
"6","A6","false","buffer only","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"8","A8","false","PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","9000.0","false","3","15"
"8","A8","false","PCD 4","nCoV","IPC","FAM","NFQ-MGB","Amp","2.954785034353274","","","27.81384314035347","0.7629191784775671","27.8415327064415","0.0508577126795586","false","60000.0","false","3","15"
"13","B1","false","Neg NT","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.460440467520916","","","28.3341448574851","0.9905436016947918","28.8869321880263","0.7817593399592637","false","9000.0","false","3","15"
"13","B1","false","Neg NT","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"14","B2","false","Neg DC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4430059412590883","","","28.998630849682442","0.985993237873275","28.86267436383994","0.1179077474770031","false","9000.0","false","3","15"
"14","B2","false","Neg DC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"15","B3","false","buffer only","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4410562389129535","","","27.04517059109004","0.9890201385407926","26.872144612682405","0.15375283951761778","false","9000.0","false","3","15"
"15","B3","false","buffer only","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"16","B4","false","Neg NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.748924273555165","","","23.92314864762117","0.9913081440360021","24.217542537457174","0.41633583168597554","false","30000.0","true","3","16"
"17","B5","false","Neg DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7269477830137427","","","22.802228647936857","0.9908819842775107","22.358725990296122","0.41880775600948994","false","30000.0","true","3","16"
"18","B6","false","buffer only","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"20","B8","false","PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","9000.0","false","3","15"
"20","B8","false","PCD 4","nCoV","IPC","FAM","NFQ-MGB","Amp","2.9582537212195814","","","27.900226936379042","0.7756243998087958","27.8415327064415","0.0508577126795586","false","60000.0","false","3","15"
"25","C1","false","Neg MM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4639443489874195","","","29.53804347325351","0.9877358469587263","29.14877143948184","0.5505137896124556","false","9000.0","false","3","15"
"25","C1","false","Neg MM","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"26","C2","false","Neg DC","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.458844697132582","","","28.800950110297606","0.9888870403867591","28.86267436383994","0.1179077474770031","false","9000.0","false","3","15"
"26","C2","false","Neg DC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"27","C3","false","buffer only","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.470361639821908","","","26.820076416366547","0.990760656447088","26.872144612682405","0.15375283951761778","false","9000.0","false","3","15"
"27","C3","false","buffer only","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"28","C4","false","Neg MM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7586655082174887","","","22.99222661946652","0.9887733890461217","22.725694818558406","0.3769328876481075","false","30000.0","true","3","16"
"29","C5","false","Neg DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7462286163991574","","","22.30394466175418","0.9892896106166246","22.358725990296122","0.41880775600948994","false","30000.0","true","3","15"
"30","C6","false","buffer only","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"32","C8","false","PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","1.277943805871756","","","Undetermined","0.0","","","false","9000.0","false","3","15"
"32","C8","false","PCD 4","nCoV","IPC","FAM","NFQ-MGB","Amp","2.95871789551378","","","27.810528042591997","0.8074789010193576","27.8415327064415","0.0508577126795586","false","60000.0","false","3","15"
"37","D1","false","Neg MM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.467096569226424","","","28.759499405710173","0.9909823233116319","29.14877143948184","0.5505137896124556","false","9000.0","false","3","15"
"37","D1","false","Neg MM","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","1.9588183879159453","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"38","D2","false","buffer and PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.460566772027241","","","26.13551567953123","0.9803568299621535","27.164598228900527","0.9128407404757404","false","9000.0","false","3","15"
"38","D2","false","buffer and PCD 4","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.947940558592801","","","32.59657748755848","0.741569820287791","32.73163906360701","0.2175031607623102","false","60000.0","false","3","15"
"39","D3","false","Neg DG","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.4374907498476497","","","29.083690002996036","0.9867985773207825","29.44474748558157","0.5106123886687436","false","9000.0","false","3","15"
"39","D3","false","Neg DG","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","1.4739924091184717","","","Undetermined","0.0","","","false","60000.0","false","3","15"
"40","D4","false","Neg MM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.739585852647244","","","22.45916301765029","0.9781357377164236","22.725694818558406","0.3769328876481075","false","30000.0","true","3","17"
"41","D5","false","buffer and PCD 4","Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","30000.0","true","3","49"
"42","D6","false","Neg DG","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.757633788313632","","","23.730817292669443","0.9876447109522943","23.702850644469255","0.039550813176529816","false","30000.0","true","3","16"
